id_ciudadano;id_usuario_asociado;fecha_alta;nombre;apellido;doc_nro;email;telefono;sexo;fecha_nacimiento;calle;calleAltura;contribuyente;enabled;habilitado;idCatastral;id_localidad;cuil;id_tipo_documento;id_sexo;id_nacionalidad;mails_chk;ren_chck;emp_chk;id_representacion;domicilio_manual;latitud;longitud;nivel_ciudadano;fecha_actualizacion;actualizado_por;codigo_postal
8840342;9506;5/8/2025;Nahiara Hada Luz;Rioboo;43156565;nahiara.hada.luz.rioboo558@example.com;1195269426;0;30/6/1969;Pueyrredón 8594;;;True;1;;25021;;1;;;True;True;;;0;;;;24/2/2026;seed@example.com;
9598286;9506;26/1/2026;Lucas;Gaffuri Baiocco;47203337;lucas.gaffuri.baiocco983@example.com;1166199881;0;25/11/1985;Las Heras 8394;;;True;1;;25021;20472033379;1;1;;True;True;;;0;;;;26/1/2026;seed@example.com;1606
7791100;9506;19/6/2024;Romina;Sobrado Solá;30056413;;1173384891;1;15/6/1953;Mitre 2897;;;True;1;;;;1;;;True;True;;;0;;;;17/3/2025;seed@example.com;
9144005;9506;26/8/2025;Claudio Daniel Ducret;Rodriguez Saavedra;21474811;claudio.daniel.ducret.rodriguez.saavedra170@example.com;1144922061;0;23/12/1972;Av. Siempre Viva 5060;;;True;1;;25021;;1;;;True;True;;;0;;;;13/3/2026;seed@example.com;
9675735;9506;5/3/2026;Analia Judith;Mc Crea Steele;28700546;analia.judith.mc.crea.steele955@example.com;;0;8/11/1948;Lavalle 4895;;;True;1;;25021;27287005461;1;;;True;True;;;0;;;;5/3/2026;seed@example.com;1605
9668001;9506;27/2/2026;Maria Irma;Cardiello;35960669;maria.irma.cardiello558@example.com;1140055321;1;25/6/1975;Calle Falsa 6772;;;True;1;;25021;24359606698;1;;;True;True;;;0;;;;27/2/2026;seed@example.com;1605
8782904;9506;12/6/2025;Amadeo Mario;Lopez;15695350;;;0;16/9/1942;Av. Siempre Viva 1466;;;True;1;;25021;;1;;;True;True;;;0;;;;;;
9169851;9506;17/9/2025;Valeria;Picchi Fernandez;39055537;valeria.picchi.fernandez161@example.com;;0;1/3/1986;Las Heras 1979;;;True;1;;;20390555371;1;1;;True;True;;;0;;;;;;1606
8401792;9506;19/12/2024;Liliana Andrea;Caputo;17052422;liliana.andrea.caputo55@example.com;;1;8/6/1952;Moreno 6608;;;True;1;;25021;20170524226;1;2;;True;True;;;0;;;;19/12/2024;seed@example.com;1606
9150993;9506;1/9/2025;Elvira Natalia;Robledo;16793191;;1153661335;0;29/1/1973;Urquiza 2770;;;True;1;;25019;;1;;;True;True;;;0;;;;;;
